Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.560e-08,-0.04,0.012,0,0.016
-5.520e-08,0,-0.004,0.008,0.008
-5.480e-08,-0.04,-0.004,0.008,0.008
-5.440e-08,-0.04,0.004,0.008,0.008
-5.400e-08,-0.04,0.004,0.016,0
-5.360e-08,-0.04,-0.012,0.008,0.008
-5.320e-08,-0.04,-0.02,0.016,-0.008
-5.280e-08,0,-0.028,0.008,-0.008
-5.240e-08,0,-0.028,0.016,0
-5.200e-08,-0.04,-0.012,0.008,-0.008
-5.160e-08,0,-0.012,0.008,-0.008
-5.120e-08,0,-0.012,0.008,-0.008
-5.080e-08,-0.04,-0.004,0,0
-5.040e-08,-0.04,-0.012,0,0
-5.000e-08,0,-0.012,0,0.008
-4.960e-08,0,-0.012,0,0.008
-4.920e-08,0,0.004,0.008,0
-4.880e-08,-0.08,-0.012,0.008,0.008
-4.840e-08,-0.04,-0.004,0.008,0.008
-4.800e-08,-0.04,0.004,0.008,0.016
-4.760e-08,-0.04,0.004,0.008,0.008
-4.720e-08,-0.04,0.004,0.008,0.008
-4.680e-08,-0.04,0.012,0.008,0.016
-4.640e-08,-0.04,0.004,0.016,0.008
-4.600e-08,0,0.004,0.016,0
-4.560e-08,0,0.02,0.016,0
-4.520e-08,-0.04,0.012,0.008,-0.008
-4.480e-08,0,0.012,0.016,-0.016
-4.440e-08,-0.04,0.004,0.008,0
-4.400e-08,0,0.004,0.008,0
-4.360e-08,0,0.004,0,-0.008
-4.320e-08,-0.04,-0.02,-0.008,-0.104
-4.280e-08,0,-0.036,-0.024,-0.456
-4.240e-08,0,-0.02,0.096, -inf
